id,genotype,time,replicate,island,condition,location,location_RorN,healthcheck,date,Sm_1,Sm_2,Sm_3,Sm_4,Sm_5,Sm_6,Sm_7,Md_1,Md_2,Md_3,Lg
M1T1A,M1,T1,A,C,% dead,reef,reef,4,8/16/2019,0,0,0,100,100,100,100,0,100,100,80
M1T1B_C_4_% dead,M1,T1,B,C,% dead,reef,reef,4,8/16/2019,0,0,100,100,100,100,100,0,10,100,100
M1T1C_C_4_% dead,M1,T1,C,C,% dead,reef,reef,4,8/16/2019,0,0,0,100,100,100,100,80,100,100,100
M1T2A_C_4_% dead,M1,T2,A,C,% dead,reef,reef,4,8/16/2019,0,0,0,0,0,0,0,0,0,40,0
M1T2B_C_4_% dead,M1,T2,B,C,% dead,reef,reef,4,8/16/2019,0,0,100,100,100,100,100,100,100,100,100
M1T2C_C_4_% dead,M1,T2,C,C,% dead,reef,reef,4,8/16/2019,0,0,0,0,100,100,100,0,0,100,0
M1T3A_C_4_% dead,M1,T3,A,C,% dead,pen_L,nursery,4,8/16/2019,0,10,100,100,100,100,100,100,100,100,100
M1T3B_C_4_% dead,M1,T3,B,C,% dead,pen_B_R,nursery,4,8/16/2019,0,0,0,0,100,100,100,0,100,100,100
M1T3C_C_4_% dead,M1,T3,C,C,% dead,pen_R,nursery,4,8/16/2019,100,100,100,100,100,100,100,100,100,100,100
M2T1A_C_4_% dead,M2,T1,A,C,% dead,reef,reef,4,8/16/2019,0,0,0,0,0,0,40,0,0,0,25
M2T1B_C_4_% dead,M2,T1,B,C,% dead,reef,reef,4,8/16/2019,0,0,100,100,100,100,100,100,100,100,100
M2T1C_C_4_% dead,M2,T1,C,C,% dead,reef,reef,4,8/16/2019,0,0,0,0,90,10,100,100,100,100,0
M2T2A_C_4_% dead,M2,T2,A,C,% dead,reef,reef,4,8/16/2019,0,0,0,0,0,50,100,0,0,80,0
M2T2B_C_4_% dead,M2,T2,B,C,% dead,reef,reef,4,8/16/2019,0,0,100,100,100,100,100,0,0,0,0
M2T2C_C_4_% dead,M2,T2,C,C,% dead,reef,reef,4,8/16/2019,0,0,0,0,0,40,20,0,0,0,85
M2T3A_C_4_% dead,M2,T3,A,C,% dead,pen_B_R,nursery,4,8/16/2019,0,0,0,0,0,0,100,80,0,0,0
M2T3B_C_4_% dead,M2,T3,B,C,% dead,pen_L,nursery,4,8/16/2019,0,0,0,100,100,100,100,0,20,100,0
M2T3C_C_4_% dead,M2,T3,C,C,% dead,pen_L,nursery,4,8/16/2019,0,0,0,0,0,0,0,0,0,0,0
M3T1A_C_4_% dead,M3,T1,A,C,% dead,reef,reef,4,8/16/2019,0,0,80,80,100,100,100,0,100,100,0
M3T1B_C_4_% dead,M3,T1,B,C,% dead,reef,reef,4,8/16/2019,0,85,85,100,100,100,100,0,100,100,100
M3T1C_C_4_% dead,M3,T1,C,C,% dead,reef,reef,4,8/16/2019,0,0,0,0,0,100,100,100,100,100,100
M3T2A_C_4_% dead,M3,T2,A,C,% dead,reef,reef,4,8/16/2019,0,0,0,100,100,100,100,0,80,100,100
M3T2B_C_4_% dead,M3,T2,B,C,% dead,reef,reef,4,8/16/2019,0,0,50,50,50,50,100,95,85,20,100
M3T2C_C_4_% dead,M3,T2,C,C,% dead,reef,reef,4,8/16/2019,0,30,100,100,100,100,100,85,100,100,0
M3T3A_C_4_% dead,M3,T3,A,C,% dead,pen_L,nursery,4,8/16/2019,100,100,100,100,100,100,100,0,100,100,100
M3T3B_C_4_% dead,M3,T3,B,C,% dead,pen_R,nursery,4,8/16/2019,0,60,100,100,100,100,100,100,100,100,100
M3T3C_C_4_% dead,M3,T3,C,C,% dead,pen_B_R,nursery,4,8/16/2019,0,0,100,100,100,100,100,0,0,30,100
P1T1A_C_4_% dead,P1,T1,A,C,% dead,reef,reef,4,8/16/2019,0,0,0,0,0,30,100,60,95,100,85
P1T1B_C_4_% dead,P1,T1,B,C,% dead,reef,reef,4,8/16/2019,50,50,50,50,50,80,80,0,0,100,85
P1T1C_C_4_% dead,P1,T1,C,C,% dead,reef,reef,4,8/16/2019,0,0,0,20,100,100,100,20,20,20,90
P1T2A_C_4_% dead,P1,T2,A,C,% dead,reef,reef,4,8/16/2019,0,0,0,0,0,0,0,0,0,0,0
P1T2B_C_4_% dead,P1,T2,B,C,% dead,reef,reef,4,8/16/2019,0,0,0,0,0,0,0,10,40,20,0
P1T2C_C_4_% dead,P1,T2,C,C,% dead,reef,reef,4,8/16/2019,0,0,0,0,0,0,20,0,85,100,20
P1T3A_C_4_% dead,P1,T3,A,C,% dead,pen_R,nursery,4,8/16/2019,0,0,0,100,100,100,100,100,100,100,100
P1T3B_C_4_% dead,P1,T3,B,C,% dead,pen_L,nursery,4,8/16/2019,70,0,100,100,100,100,100,100,100,100,100
P1T3C_C_4_% dead,P1,T3,C,C,% dead,pen_L,nursery,4,8/16/2019,0,0,0,0,100,100,100,0,15,100,100
P2T1A_C_4_% dead,P2,T1,A,C,% dead,reef,reef,4,8/16/2019,0,0,0,0,0,60,100,0,0,95,0
P2T1B_C_4_% dead,P2,T1,B,C,% dead,reef,reef,4,8/16/2019,0,0,80,40,40,100,100,90,30,70,20
P2T1C_C_4_% dead,P2,T1,C,C,% dead,reef,reef,4,8/16/2019,0,0,70,70,100,100,100,85,0,30,0
P2T2A_C_4_% dead,P2,T2,A,C,% dead,reef,reef,4,8/16/2019,0,0,0,0,0,0,100,0,0,0,0
P2T2B_C_4_% dead,P2,T2,B,C,% dead,reef,reef,4,8/16/2019,0,0,0,0,0,0,60,0,0,0,10
P2T2C_C_4_% dead,P2,T2,C,C,% dead,reef,reef,4,8/16/2019,0,0,0,0,0,0,0,0,0,80,15
P2T3A_C_4_% dead,P2,T3,A,C,% dead,pen_B_R,nursery,4,8/16/2019,0,0,0,50,100,100,100,60,90,100,95
P2T3B_C_4_% dead,P2,T3,B,C,% dead,pen_L,nursery,4,8/16/2019,0,0,0,0,0,80,100,70,100,100,0
P2T3C_C_4_% dead,P2,T3,C,C,% dead,pen_R,nursery,4,8/16/2019,0,0,0,0,0,100,100,0,0,100,100
P3T1A_C_4_% dead,P3,T1,A,C,% dead,reef,reef,4,8/16/2019,0,0,50,50,50,50,50,20,80,95,80
P3T1B_C_4_% dead,P3,T1,B,C,% dead,reef,reef,4,8/16/2019,0,90,60,100,100,100,100,100,100,100,100
P3T1C_C_4_% dead,P3,T1,C,C,% dead,reef,reef,4,8/16/2019,0,0,0,80,100,100,100,85,10,100,70
P3T2A_C_4_% dead,P3,T2,A,C,% dead,reef,reef,4,8/16/2019,0,0,0,0,0,0,100,0,100,100,85
P3T2B_C_4_% dead,P3,T2,B,C,% dead,reef,reef,4,8/16/2019,0,0,0,0,95,50,100,10,50,100,40
P3T2C_C_4_% dead,P3,T2,C,C,% dead,reef,reef,4,8/16/2019,0,0,0,0,0,0,0,0,0,20,0
P3T3A_C_4_% dead,P3,T3,A,C,% dead,pen_L,nursery,4,8/16/2019,0,0,0,0,0,0,0,0,0,0,0
P3T3B_C_4_% dead,P3,T3,B,C,% dead,pen_L,nursery,4,8/16/2019,0,0,0,100,100,100,100,85,100,100,85
P3T3C_C_4_% dead,P3,T3,C,C,% dead,pen_R,nursery,4,8/16/2019,100,100,100,100,100,100,100,100,100,100,100
